Dataset,Percentile,Threshold,FPR,Recall,F1-Score,Precision,Alerts,TP,FP,FN
Dataset-2,95.0th,0.000131,0.9782,0.9933,0.9807,0.9683,9919,9605,314,65
Dataset-2,99.0th,0.000198,0.7788,0.9228,0.9471,0.9727,9173,8923,250,747
Dataset-2,99.5th,0.000249,0.6012,0.8475,0.9076,0.9770,8388,8195,193,1475
Dataset-2,99.9th,0.000335,0.4393,0.7310,0.8376,0.9804,7210,7069,141,2601
Dataset-3,95.0th,0.000131,1.0000,1.0000,0.9931,0.9863,9991,9854,137,0
Dataset-3,99.0th,0.000198,0.9781,1.0000,0.9932,0.9866,9988,9854,134,0
Dataset-3,99.5th,0.000249,0.9051,0.9997,0.9936,0.9876,9975,9851,124,3
Dataset-3,99.9th,0.000335,0.5328,0.9948,0.9937,0.9926,9876,9803,73,51
